"record_id","cr_es","Q_number","response"
"test_1","cr",1,1
"test_1","es",2,3
"test_1","cr",3,4
"test_1","es",4,2
"test_1","cr",5,5
"test_1","es",6,2
"test_1","cr",7,5
"test_1","cr",8,2
"test_1","es",9,4
"test_1","cr",10,3
"test_2","cr",1,2
"test_2","es",2,4
"test_2","cr",3,5
"test_2","es",4,2
"test_2","cr",5,6
"test_2","es",6,1
"test_2","cr",7,3
"test_2","cr",8,1
"test_2","es",9,3
"test_2","cr",10,2
"test_3","cr",1,1
"test_3","es",2,2
"test_3","cr",3,3
"test_3","es",4,4
"test_3","cr",5,5
"test_3","es",6,6
"test_3","cr",7,7
"test_3","cr",8,6
"test_3","es",9,5
"test_3","cr",10,4
